Active Dry Yeast,Dry Oz,4.00,7.19,,Tsp,36.00
Alfredo Sauce,Cup,4.00,8.44,Homemade,,
All-Purpose Flour,Lb,2.00,4.49,9.00,Cup,6.66
Almond Butter,Oz,16.00,7.47,27.00,Tbsp,30.00
Almond Milk,Oz,96.00,3.99,3.00,Cup,12.00
American Cheese,Lb,1.00,6.25,Deli,Slice,16.00
Anaheim Pepper,Each,1.00,0.87,Produce,Lb,0.25
Anchovies,Dry Oz,2.00,2.29,,Each,24.00
Apple Butter,Oz,17.00,2.69,27.00,,
Apple Cider Vinegar,Oz,32.00,5.29,,,
Apple Juice,Oz,52.00,3.99,3 or 5,,
Arborio Rice,Cup,4.60,8.49,,Dry oz,32.00
Artichoke,Each,1.00,2.50,,,
Artichoke Hearts,Dry Oz,14.00,4.24,,Cup,2.00
Asiago Cheese,Dry Oz,10.00,5.66,Deli,Cup,2.50
Asparagus,Lb,1.00,3.79,Produce,,
Avocado,Each,1.00,1.66,Produce,,
Baby Corn,Dry Oz,15.00,2.59,,,
Baby Spinach,Dry Oz,6.00,1.99,Produce,,
Bacon,Dry Oz,16.00,6.66,Breakfast,Strip,16.00
Baked Baking Soda,Dry Oz,21.62,3.17,Homemade,Cup,2.66
Baking Powder,Dry Oz,8.10,2.34,Baking,Tbsp,15.96
Baking Soda,Dry Oz,16.00,0.79,Baking,Tbsp,15.96
Bananas,Lb,1.00,0.59,Produce,Each,3.00
Bay Leaf,Dry Oz,0.20,0.99,Spices,Each,25.00
Bean Sprouts,Dry Oz,14.00,1.99,,Cup,2.00
Beef Bouillon,Each,25.00,1.59,,,
Beef Chuck Roast,Lb,1.00,7.99,Meat,,
Beef Short Ribs,Lb,1.00,8.99,Meat,,
Beef Stock,Cup,2.00,0.95,Soup,,
Beef Tenderloin,Lb,2.00,22.99,Meat,,
Beer,Oz,12.00,1.75,Alcohol,,
Biscuits,Each,1.00,1.99,,,
Bittersweet Chocolate,Dry Oz,4.00,3.19,,,
Black Olives,Dry Oz,6.00,2.19,11.00,,
Bok Choy,Lb,1.00,1.99,Produce,Leaf,16.00
Bread,Each,1.00,2.83,27.00,Slice,16.00
Bread Flour,Lb,5.00,6.19,Baking,Cup,20.00
