Almond Butter,Oz,16,7.79,Bread,,
Almond Milk,Oz,96,3.99,Dairy,Cup,12
American Cheese,Lb,1,6.25,Deli,Slice,16
Apple Butter,Oz,17,2.69,Bread,,
Apple Cider Vinegar,Oz,32,5.29,,,
Apple Juice,Oz,52,3.99,,,
Bacon,Oz,16,6.66,Breakfast,Strip,16
Bagel,Each,6,2.49,Bread,,
Baking Powder,Oz,8.1,2.34,Baking,,
Bananas,Lb,1,0.59,Produce,,
Bay Leaf,Oz,0.2,0.99,Spices,Each,25
Beef Chuck Roast,Lb,1,7.99,Meat,,
Beef Stock,Cup,2,0.95,Soup,,
Bok Choy,Lb,1,1.99,Produce,,
Bread,Each,1,3.00,Bread,,
Broccoli,Lb,1,1.99,Produce,Each,2.6
Brown Mushrooms,Lb,1,3.99,Produce,,
Brown Mustard,Oz,12,2.49,,,
Brown Sugar,Oz,16,1.49,Baking,Tbsp,32
Burgundy Red Wine,Each,1,10.00,,Cup,3
Butter,Lb,1,2.49,Dairy,Tbsp,32
Cabbage,Lb,1,0.79,Produce,Each,0.5
Canola Oil,Oz,48,3.19,Baking,,
Carrot,Lb,2,1.79,Produce,Each,5
Cauliflower,Lb,1,3.99,Produce,,
Cayenne Pepper,Oz,2.89,5.49,Spices,,
Celery,Each,1,1.99,Produce,Rib,8
Cereal,Each,1,3.29,,,
Chicken Breast,Lb,1,3.25,Meat,,
Chicken Stock,Cup,4,1.79,Soup,,
Chicken Thighs Skin-on,Lb,1,1.99,Meat,Each,3
Chili Powder,Oz,2.5,2.29,Spices,,
Chips,Each,1,3.17,,,
Clam Juice,Each,1,2.29,,,
Clams,Each,1,2.39,,,
Coconut Milk,Oz,13.5,1.99,,,
Coconut Oil,Oz,14,6.99,,,
Corned Beef Brisket,Lb,1,4.87,Meat,,
Cornstarch,Oz,16,2.09,Baking,,
Cream Cheese,Oz,8,2.84,Dairy,,
Crimini Mushrooms,Lb,1,3.99,Produce,,
Crushed Tomatoes,Oz,15,0.80,,,
Cumin Seeds,Oz,1.37,6.49,Spices,,
Curly Parsley,Each,1,1.29,Produce,Tbsp,8
Deli Turkey,Lb,1,7.76,Deli,,
Diet Tonic 12pk,Each,1,3.69,,,
Dried Thyme,Oz,0.5,0.99,Spices,,
Dry Mustard,Oz,1.75,4.19,Spices,,
Egg,Each,12,1.99,Dairy,,
Egg Noodles,Oz,8,2.39,Pasta,,
Flank Steak,Lb,1.5,16.49,Meat,,
Flat-Leaf Parsley,Each,1,1.29,Produce,Tbsp,8
Flour,Lb,2,4.49,Baking,Cup,4
French Fries,Each,1,3.19,Frozen,,
Fresh Dill,Each,1,1.99,Produce,Tbsp,4
Fresh Sage,Each,1,1.99,Produce,Tbsp,4
Fresh Thyme,Each,1,1.99,Produce,Tbsp,4
Fusilli,Oz,16,2.49,Pasta,,
Garlic,Each,1,0.59,Produce,Clove,10
Garlic Powder,Oz,3.12,4.88,Spices,,
Ghee,Oz,12,12.99,,,
Ginger,Each,0.25,0.74,Produce,,
Gold Potato,Lb,1,1.29,Produce,Each,2
Green Onions,Each,1,0.99,Produce,,
Ground Beef,Lb,1,6.69,Meat,,
Ground Cumin,Oz,7,3.19,Spices,,
Ground Ginger,Oz,1.6,4.09,Spices,,
Ground Italian Sausage,Lb,1,3.89,Meat,,
Ground Nutmeg,Oz,2,2.29,Spices,,
Half-and-Half,Gal,0.25,1.89,Dairy,,
Hamburger,Each,4,8.09,Meat,,
Hamburger Bun,Bun,8,2.75,Bread,,
Heavy Cream,Oz,8,1.89,Dairy,,
Honey,Oz,16,5.69,,,
Hot Dog,Each,8,5.99,Meat,,
Hot Dog Bun,Each,8,2.99,Bread,,
Italian Sausage,Each,5,4.99,Meat,,
Kale,Lb,1,1.49,Produce,,
Ketchup,Oz,20,1.69,,,
Kielbasa Polska,Oz,14,3.99,Breakfast,Each,1
Leek,Each,2,2.99,Produce,,
Lime,Each,1,0.50,Produce,,
Mango,Each,1,0.88,Produce,,
Mashed Potato,Each,1,1.25,,,
Milk,Gal,0.5,2.39,Dairy,,
Mountain Dew,16pk,1,3.66,,,
