Apple Butter Tenderloin,0,pork,"{'Pork Tenderloin': ['Lb', 2], 'Brown Sugar': ['Tbsp', 1], 'Smoked Paprika': ['Tsp', 1], 'Garlic Powder': ['Tsp', 0.5], 'Dried Thyme': ['Tsp', 0.5], 'Apple Butter': ['Cup', 0.75], 'Apple Cider Vinegar': ['Tbsp', 1], 'Whole Grain Mustard': ['Tbsp', 1]}",None,None
BBQ Pork,1,pork,"{'Pork Shoulder': ['Lb', 5], 'Garlic': ['Clove', 2], 'Garlic Powder': ['Tbsp', 1], 'Paprika': ['Tbsp', 3], 'Brown Sugar': ['Cup', 0.5], 'Dry Mustard': ['Tbsp', 1], 'Apple Cider Vinegar': ['Cup', 1.5], 'Ketchup': ['Cup', 0.5], 'Brown Mustard': ['Cup', 1], 'Cayenne Pepper': ['Tsp', 1], 'Hamburger Bun': ['Each', 2]}",None,None
Beef Bourgouinon,1,beef,"{'Beef Chuck Roast': ['Lb', 2], 'Flour': ['Cup', 0.25], 'Butter': ['Tbsp', 4], 'Pearl Onion': ['Oz', 12], 'Carrot': ['Each', 2], 'Garlic': ['Clove', 2], 'Burgundy Red Wine': ['Cup', 2], 'Bay Leaf': ['Each', 1], 'Fresh Thyme': ['Tsp', 1], 'Brown Mushrooms': ['Oz', 8]}",soup,beef stew
Beef Fajitas,0,beef,"{'New Ingredients': [None, 1]}",tacos,None
Beef Fried Rice,0,beef,"{'Flank Steak': ['Lb', 0.5], 'Veggie Mix': ['Each', 1], 'Rice': ['Cup', 2], 'Soy Sauce': ['Tbsp', 3], 'Garlic Powder': ['Tsp', 1], 'Ground Ginger': ['Tsp', 1], 'Red Pepper Flakes': ['Tsp', 0.25], 'Brown Sugar': ['Tbsp', 1], 'Sesame Oil': ['Tbsp', 0.5]}",stir fry,None
Beef Stew,0,beef,"{'Beef Chuck Roast': ['Lb', 1], 'Carrot': ['Each', 2], 'Celery': ['Rib', 2], 'Onion': ['Each', 0.5], 'Gold Potato': ['Each', 6], 'Flour': ['Cup', 0.25], 'Olive Oil': ['Tbsp', 3], 'Unsalted Butter': ['Tbsp', 3], 'Garlic': ['Clove', 2], 'Tomato Paste': ['Tbsp', 1], 'Red Wine': ['Cup', 0.25], 'Beef Stock': ['Cup', 8], 'Bay Leaf': ['Each', 1], 'Dried Thyme': ['Tsp', 1], 'Paprika': ['Tsp', 0.5], 'Worcestershire Sauce': ['Tbsp', 0.5], 'Sugar': ['Tsp', 0.5], 'Green Bean': ['Lb', 0.5], 'Flat Leaf Parsley': ['Cup', 0.125]}",soup,beef stew
Beef Stew with Dumplings Half Recipe,1,beef,"{'Flour': ['Cup', 0.75], 'Olive Oil': ['Tbsp', 1.5], 'Unsalted Butter': ['Tbsp', 2.5], 'Beef Chuck Roast': ['Lb', 1], 'Yellow Onion': ['Each', 0.5], 'Garlic': ['Clove', 2], 'Tomato Paste': ['Tbsp', 1], 'Red Wine': ['Cup', 0.25], 'Beef Stock': ['Cup', 8], 'Bay Leaf': ['Each', 1], 'Dried Thyme': ['Tsp', 1.5], 'Paprika': ['Tsp', 0.5], 'Worcestershire Sauce': ['Tbsp', 0.5], 'Sugar': ['Tsp', 0.75], 'Carrot': ['Each', 3], 'Russet Potato': ['Each', 2], 'Green Beans': ['Lb', 0.25], 'Flat Leaf Parsley': ['Tbsp', 2], 'Baking Powder': ['Tsp', 0.75], 'Milk': ['Cup', 0.25]}",soup,beef stew
Beef Stir Fry,0,beef,"{'Flank Steak': ['Lb', 0.5], 'Veggie Mix': ['Each', 1], 'Noodles': ['Each', 1], 'Soy Sauce': ['Tbsp', 3], 'Garlic Powder': ['Tsp', 1], 'Ground Ginger': ['Tsp', 1], 'Red Pepper Flakes': ['Tsp', 0.25], 'Brown Sugar': ['Tbsp', 1], 'Sesame Oil': ['Tbsp', 0.5]}",stir fry,None
Beef with Broccoli,0,beef,"{'Soy Sauce': ['Tbsp', 0.66], 'Chicken Stock': ['Cup', 0.5], 'Honey': ['Cup', 0.25], 'Rice Wine Vinegar': ['Tbsp', 2], 'Brown Sugar': ['Tbsp', 2], 'Garlic': ['Clove', 3], 'Sesame Oil': ['Tbsp', 1], 'Cornstarch': ['Tbsp', 1], 'Ground Ginger': ['Tsp', 1], 'Red Pepper Flakes': ['Tsp', 0.25], 'Olive Oil': ['Tbsp', 1], 'Flank Steak': ['Lb', 1], 'Broccoli': ['Each', 1]}",stir fry,None
Burgers,0,beef,"{'Hamburger': ['Each', 2], 'American Cheese': ['Slice', 2], 'Hamburger Bun': ['Each', 2], 'French Fries': ['Each', 0.5]}",burgers,None
Carnitas,0,pork,"{'Orange': ['Each', 1], 'Lime': ['Each', 1], 'Yellow Onion': ['Each', 1], 'Garlic': ['Clove', 3], 'Tomato Paste': ['Tbsp', 4], 'Ground Cumin': ['Tsp', 1], 'Chili Powder': ['Tsp', 1], 'Oregano': ['Tsp', 1], 'Pork Shoulder': ['Lb', 1.5]}",tacos,None
